Date,Temperature,Humidity,Precipitation,WindSpeed,SolarRadiation,SoilMoisture,WeatherDescription
2019-12-31,11.35,67.9,9.2,0.63,146.32,32.85,Forte pioggia
2020-01-01,10.38,64.52,1.51,9.41,274.73,36.45,Ventoso
2020-01-02,10.99,79.77,4.39,9.73,206.96,26.83,Ventoso
2020-01-03,5.57,71.64,8.65,7.64,141.21,46.94,Forte pioggia
2020-01-04,11.53,86.25,1.35,7.18,177.06,44.53,Sereno
2020-01-05,10.31,71.78,5.85,9.37,154.53,35.88,Ventoso
2020-01-06,13.48,69.77,6.34,6.04,174.15,12.98,Possibile pioggia
2020-01-07,7.94,86.02,2.24,6.03,83.71,28.62,Sereno
2020-01-08,7.62,73.45,4.76,1.56,83.52,26.81,Possibile pioggia
2020-01-09,13.41,80.85,7.59,8.25,93.37,18.7,Ventoso
2020-01-10,14.19,72.58,2.84,6.97,158.39,22.74,Sereno
2020-01-11,13.77,83.29,3.16,3.67,173.28,43.89,Possibile pioggia
2020-01-12,13.97,83.05,2.09,6.64,267.99,17.82,Sereno
2020-01-13,14.83,60.31,5.87,1.98,185.44,45.11,Possibile pioggia
2020-01-14,14.48,67.74,3.07,1.45,88.64,18.02,Possibile pioggia
2020-01-15,6.5,69.08,1.2,5.43,53.72,37.75,Sereno
2020-01-16,6.34,56.65,2.78,4.68,225.97,30.87,Sereno
2020-01-17,8.99,54.19,0.8,9.36,85.19,16.61,Ventoso
2020-01-18,7.79,83.15,6.08,9.67,60.02,14.9,Ventoso
2020-01-19,6.04,86.51,5.87,2.42,256.82,36.48,Possibile pioggia
2020-01-20,6.49,55.39,5.07,4.57,183.61,43.94,Possibile pioggia
2020-01-21,5.11,80.2,4.73,4.57,241.81,30.91,Possibile pioggia
2020-01-22,14.02,81.61,6.53,2.6,114.11,40.32,Possibile pioggia
2020-01-23,9.47,77.48,0.0,6.75,179.23,32.05,Sereno
2020-01-24,14.83,60.5,1.33,8.49,259.56,12.79,Ventoso
2020-01-25,5.37,84.94,5.86,5.7,98.84,33.97,Possibile pioggia
2020-01-26,7.42,65.13,1.95,2.66,293.02,17.05,Sereno
2020-01-27,6.17,77.26,7.08,2.77,165.61,20.66,Possibile pioggia
2020-01-28,13.82,62.68,7.33,4.89,204.09,46.99,Possibile pioggia
2020-01-29,12.14,52.98,9.86,2.99,291.32,48.1,Forte pioggia
2020-01-30,13.87,78.77,3.12,1.08,185.48,19.99,Possibile pioggia
2020-01-31,11.52,75.66,7.52,5.68,99.6,15.22,Possibile pioggia
2020-02-01,13.1,70.3,2.14,7.47,114.78,20.96,Sereno
2020-02-02,12.97,69.37,8.81,1.03,112.18,49.49,Forte pioggia
2020-02-03,8.7,60.87,2.25,3.14,233.5,29.4,Sereno
2020-02-04,8.4,64.92,6.69,4.95,225.17,41.31,Possibile pioggia
2020-02-05,5.4,54.0,2.98,2.87,250.26,26.09,Sereno
2020-02-06,5.67,82.3,8.9,1.16,282.39,13.25,Forte pioggia
2020-02-07,9.45,64.49,1.1,5.84,277.56,41.38,Sereno
2020-02-08,12.11,62.41,5.96,2.51,159.47,28.0,Possibile pioggia
2020-02-09,7.55,72.81,6.6,1.99,125.68,19.21,Possibile pioggia
2020-02-10,7.99,63.97,8.37,2.94,215.57,42.97,Forte pioggia
2020-02-11,7.7,59.54,7.41,5.91,274.6,49.98,Possibile pioggia
2020-02-12,7.76,81.83,4.49,6.9,250.7,43.41,Possibile pioggia
2020-02-13,9.02,51.65,9.48,6.73,51.25,47.62,Forte pioggia
2020-02-14,10.54,59.54,8.82,0.76,89.53,32.57,Forte pioggia
2020-02-15,11.69,54.97,5.08,6.56,201.73,49.91,Possibile pioggia
2020-02-16,11.15,54.44,1.99,7.51,62.73,38.99,Sereno
2020-02-17,7.01,58.92,6.29,8.28,112.14,46.66,Ventoso
2020-02-18,10.54,68.1,4.47,0.9,141.26,28.1,Possibile pioggia
2020-02-19,8.9,58.78,7.73,4.3,142.66,39.79,Possibile pioggia
2020-02-20,7.56,66.35,3.24,7.4,233.66,14.72,Possibile pioggia
2020-02-21,13.52,77.41,6.17,2.91,124.77,13.24,Possibile pioggia
2020-02-22,10.32,55.54,2.02,4.38,67.71,49.61,Sereno
2020-02-23,14.72,75.06,4.3,4.29,228.82,33.4,Possibile pioggia
2020-02-24,5.92,71.97,9.09,5.91,243.57,38.06,Forte pioggia
2020-02-25,11.56,57.85,3.92,0.89,261.5,27.95,Possibile pioggia
2020-02-26,10.64,82.97,6.9,8.24,215.28,32.51,Ventoso
2020-02-27,14.27,53.58,5.57,0.51,78.08,10.07,Possibile pioggia
2020-02-28,7.07,55.15,0.74,7.83,78.97,45.72,Sereno
2020-02-29,13.42,78.6,8.87,2.27,181.16,34.59,Forte pioggia
2020-03-01,10.2,59.52,8.93,4.96,61.4,48.66,Forte pioggia
2020-03-02,21.79,75.46,7.02,3.76,97.62,40.29,Possibile pioggia
2020-03-03,12.52,52.58,1.17,9.82,273.45,29.95,Ventoso
2020-03-04,13.92,57.92,9.18,3.69,259.88,24.35,Forte pioggia
2020-03-05,16.53,76.13,0.55,6.36,184.74,41.05,Sereno
2020-03-06,11.04,50.54,7.63,2.84,143.76,33.84,Possibile pioggia
2020-03-07,24.34,88.65,9.93,8.72,122.92,40.59,Forte pioggia
2020-03-08,11.02,51.93,9.7,4.92,266.79,36.7,Forte pioggia
2020-03-09,18.92,84.98,7.06,8.91,151.7,21.84,Ventoso
2020-03-10,13.35,54.6,3.55,1.36,207.56,13.32,Possibile pioggia
2020-03-11,10.15,62.0,5.94,4.78,64.72,16.28,Possibile pioggia
2020-03-12,15.92,88.77,2.39,7.03,117.58,28.9,Sereno
2020-03-13,12.43,67.3,0.73,1.18,282.54,20.08,Sereno
2020-03-14,15.75,77.25,0.51,6.84,86.15,39.51,Sereno
2020-03-15,14.86,58.48,0.62,7.56,284.3,14.68,Sereno
2020-03-16,12.43,88.91,4.18,9.13,288.78,21.14,Ventoso
2020-03-17,11.51,51.58,6.08,7.29,78.27,25.86,Possibile pioggia
2020-03-18,22.97,57.39,9.78,4.94,66.91,28.01,Forte pioggia
2020-03-19,18.34,76.68,7.82,2.05,87.15,12.09,Possibile pioggia
2020-03-20,12.33,79.86,7.8,7.69,83.01,36.9,Possibile pioggia
2020-03-21,10.05,73.06,4.73,8.0,79.33,30.53,Possibile pioggia
2020-03-22,13.32,63.06,1.43,0.65,93.75,24.96,Sereno
2020-03-23,20.43,50.33,0.58,2.45,165.97,25.26,Sereno
2020-03-24,12.47,55.29,4.27,0.95,250.88,23.93,Possibile pioggia
2020-03-25,24.22,80.01,6.61,5.48,286.68,49.53,Possibile pioggia
2020-03-26,11.15,86.59,7.92,5.03,102.21,45.83,Possibile pioggia
2020-03-27,19.5,59.9,7.04,9.97,127.32,10.37,Ventoso
2020-03-28,19.55,73.19,6.75,4.3,90.0,41.59,Possibile pioggia
2020-03-29,16.36,76.72,5.66,9.51,282.53,17.53,Ventoso
2020-03-30,23.27,57.64,4.0,8.6,293.87,16.69,Ventoso
2020-03-31,22.62,81.08,6.13,0.96,101.29,45.93,Possibile pioggia
2020-04-01,19.26,75.85,1.7,3.42,294.16,5.63,Sereno
2020-04-02,19.29,61.68,1.54,8.47,100.45,6.78,Ventoso
2020-04-03,11.44,78.5,1.14,4.18,145.68,19.92,Sereno
2020-04-04,16.63,88.56,0.69,0.76,215.71,13.1,Sereno
2020-04-05,19.41,87.19,0.72,1.85,245.42,12.08,Sereno
2020-04-06,20.13,60.97,1.57,9.83,285.98,17.59,Ventoso
2020-04-07,12.96,72.5,0.76,2.91,57.93,17.08,Sereno
2020-04-08,15.49,84.26,1.69,4.26,188.5,9.19,Sereno
2020-04-09,10.96,54.91,0.33,6.36,190.99,6.99,Sereno
2020-04-10,19.74,79.43,1.1,7.54,193.38,15.15,Sereno
2020-04-11,12.83,66.48,0.56,1.46,134.24,8.18,Sereno
2020-04-12,16.35,56.68,0.45,5.9,158.71,10.29,Sereno
2020-04-13,24.96,76.86,0.86,2.7,233.99,19.52,Sereno
2020-04-14,21.75,59.07,1.78,7.07,199.67,16.04,Sereno
2020-04-15,18.04,65.41,0.91,4.36,184.39,9.6,Sereno
2020-04-16,23.89,67.62,0.77,6.23,115.61,18.34,Sereno
2020-04-17,23.4,69.63,0.85,2.02,153.8,5.51,Sereno
2020-04-18,13.47,79.32,0.82,8.84,105.5,7.63,Ventoso
2020-04-19,15.14,87.67,1.18,3.46,104.76,19.38,Sereno
2020-04-20,14.91,73.68,1.71,7.66,80.29,9.45,Sereno
2020-04-21,12.26,62.57,0.68,7.19,62.01,5.19,Sereno
2020-04-22,17.69,62.59,1.89,8.9,150.24,11.28,Ventoso
2020-04-23,16.26,53.13,1.59,3.16,151.93,12.82,Sereno
2020-04-24,24.25,81.74,0.03,5.49,230.35,13.23,Sereno
2020-04-25,22.77,80.86,1.43,7.67,186.07,13.46,Sereno
2020-04-26,18.46,70.54,0.31,5.7,285.89,11.11,Sereno
2020-04-27,18.06,77.56,1.57,9.53,217.3,16.02,Ventoso
2020-04-28,12.92,68.21,0.15,7.91,261.45,10.09,Sereno
2020-04-29,23.48,83.2,0.33,7.84,156.69,11.74,Sereno
2020-04-30,17.98,75.72,0.28,2.83,160.57,19.2,Sereno
2020-05-01,23.33,83.85,0.11,5.38,307.24,10.48,Sereno
2020-05-02,17.45,70.88,1.66,6.73,142.45,19.16,Sereno
2020-05-03,10.22,80.55,1.5,3.56,484.86,14.02,Sereno
2020-05-04,24.87,65.85,0.48,9.16,623.79,16.91,Ventoso
2020-05-05,23.2,77.95,1.72,8.3,674.25,12.56,Ventoso
2020-05-06,19.53,82.22,0.46,4.53,292.01,17.17,Sereno
2020-05-07,16.2,54.45,1.07,1.19,173.27,16.59,Sereno
2020-05-08,10.19,55.46,1.21,4.35,277.68,15.15,Sereno
2020-05-09,22.18,88.37,0.89,6.37,344.66,19.15,Sereno
2020-05-10,22.63,52.32,0.73,1.46,537.63,6.53,Sereno
2020-05-11,13.79,58.37,1.11,7.29,631.09,14.11,Sereno
2020-05-12,18.62,71.68,0.6,8.54,225.6,18.17,Ventoso
2020-05-13,11.71,74.27,0.16,8.56,320.24,19.46,Ventoso
2020-05-14,19.52,86.27,0.96,5.09,648.64,16.45,Sereno
2020-05-15,19.9,60.92,1.08,4.33,758.7,6.01,Sereno
2020-05-16,19.01,51.24,1.7,7.62,715.63,8.05,Sereno
2020-05-17,24.33,71.99,1.45,5.21,582.67,11.5,Sereno
2020-05-18,16.62,83.07,1.03,8.62,377.44,12.36,Ventoso
2020-05-19,16.16,77.9,1.2,1.83,238.05,11.07,Sereno
2020-05-20,20.04,54.81,0.72,7.39,526.65,6.19,Sereno
2020-05-21,14.3,76.02,0.51,3.27,401.21,7.85,Sereno
2020-05-22,19.62,63.29,0.2,5.46,112.34,13.2,Sereno
2020-05-23,15.55,69.14,1.25,9.58,572.37,15.69,Ventoso
2020-05-24,24.62,61.11,1.2,3.14,347.84,9.06,Sereno
2020-05-25,20.48,64.56,0.07,8.39,438.33,5.89,Ventoso
2020-05-26,10.67,57.21,0.86,5.68,190.89,5.06,Sereno
2020-05-27,13.79,87.69,0.43,0.68,316.68,15.07,Sereno
2020-05-28,23.72,70.95,1.47,6.0,345.91,6.57,Sereno
2020-05-29,16.11,83.34,0.84,7.23,632.57,7.93,Sereno
2020-05-30,13.05,60.6,1.84,5.39,246.88,18.5,Sereno
2020-05-31,13.84,82.95,0.11,1.79,283.72,10.31,Sereno
2020-06-01,26.72,81.63,0.75,2.26,217.64,5.98,Sereno
2020-06-02,25.27,61.91,1.07,2.43,366.26,15.99,Sereno
2020-06-03,27.3,65.18,1.36,2.94,144.87,17.33,Sereno
2020-06-04,25.39,74.03,1.6,7.55,471.28,14.92,Sereno
2020-06-05,32.93,62.45,0.14,6.0,525.75,6.56,Soleggiato e caldo
2020-06-06,31.95,50.42,1.18,4.29,486.2,6.32,Soleggiato e caldo
2020-06-07,25.08,70.58,1.41,8.61,147.51,15.13,Ventoso
2020-06-08,31.66,73.2,0.84,1.97,681.82,10.07,Soleggiato e caldo
2020-06-09,28.59,88.45,0.08,6.24,684.36,19.59,Soleggiato e caldo
2020-06-10,28.45,87.85,0.97,9.16,642.66,5.62,Soleggiato e caldo
2020-06-11,32.54,66.53,0.8,5.47,187.82,16.25,Soleggiato e caldo
2020-06-12,30.73,54.67,1.57,5.85,236.36,9.7,Soleggiato e caldo
2020-06-13,27.16,58.97,1.4,9.52,560.28,18.87,Ventoso
2020-06-14,25.72,59.4,1.26,2.44,367.7,10.33,Sereno
2020-06-15,31.37,51.06,0.58,7.6,468.61,10.73,Soleggiato e caldo
2020-06-16,30.22,62.85,0.81,3.0,722.84,12.95,Soleggiato e caldo
2020-06-17,29.36,78.8,0.38,6.11,424.84,13.05,Soleggiato e caldo
2020-06-18,28.57,52.4,0.86,0.57,736.19,10.18,Soleggiato e caldo
2020-06-19,26.82,89.09,1.81,5.73,241.58,7.42,Sereno
2020-06-20,33.64,78.07,1.6,9.12,262.67,19.98,Soleggiato e caldo
2020-06-21,27.3,66.34,1.43,7.16,147.39,16.71,Sereno
2020-06-22,32.4,83.67,1.09,1.01,532.56,8.62,Soleggiato e caldo
2020-06-23,33.65,58.93,1.46,4.7,478.82,18.15,Soleggiato e caldo
2020-06-24,34.16,67.65,0.67,9.44,708.33,9.61,Soleggiato e caldo
2020-06-25,25.73,85.58,1.36,9.17,604.59,13.23,Ventoso
2020-06-26,29.8,83.2,1.49,3.23,220.18,5.56,Soleggiato e caldo
2020-06-27,29.52,70.25,0.24,8.59,272.0,7.12,Soleggiato e caldo
2020-06-28,25.66,88.23,0.85,0.84,164.39,18.67,Sereno
2020-06-29,33.34,74.26,0.97,2.99,396.52,13.62,Soleggiato e caldo
2020-06-30,34.9,85.12,0.47,2.45,132.39,9.12,Soleggiato e caldo
2020-07-01,25.27,58.97,0.24,1.4,597.61,18.42,Sereno
2020-07-02,32.61,64.26,0.88,4.14,261.17,16.62,Soleggiato e caldo
2020-07-03,27.4,86.9,0.62,8.52,179.71,15.03,Ventoso
2020-07-04,25.69,51.3,1.75,1.23,169.74,11.55,Sereno
2020-07-05,33.16,78.47,0.38,9.61,412.21,18.6,Soleggiato e caldo
2020-07-06,34.36,75.76,0.43,5.89,241.06,13.85,Soleggiato e caldo
2020-07-07,30.58,62.7,1.26,5.06,188.13,11.71,Soleggiato e caldo
2020-07-08,33.38,82.94,1.54,2.74,679.55,14.61,Soleggiato e caldo
2020-07-09,26.14,80.28,1.49,9.28,516.9,16.72,Ventoso
2020-07-10,26.8,88.97,0.24,1.76,605.71,17.11,Sereno
2020-07-11,27.17,58.51,1.27,7.58,115.39,12.65,Sereno
2020-07-12,32.67,80.57,0.45,7.2,616.9,14.72,Soleggiato e caldo
2020-07-13,33.99,71.32,0.9,9.17,619.87,13.17,Soleggiato e caldo
2020-07-14,28.16,70.29,1.56,6.81,566.02,9.23,Soleggiato e caldo
2020-07-15,30.48,57.2,0.63,0.87,663.5,17.14,Soleggiato e caldo
2020-07-16,31.26,51.72,0.63,3.53,206.43,16.59,Soleggiato e caldo
2020-07-17,29.08,72.01,0.42,4.57,451.22,14.07,Soleggiato e caldo
2020-07-18,27.56,67.19,1.17,9.31,203.7,14.13,Ventoso
2020-07-19,29.61,77.61,0.15,4.25,773.38,19.11,Soleggiato e caldo
2020-07-20,26.96,67.72,0.91,9.6,182.61,7.82,Ventoso
2020-07-21,33.44,73.39,1.15,3.48,111.95,19.2,Soleggiato e caldo
2020-07-22,31.7,70.95,0.56,4.67,657.71,17.93,Soleggiato e caldo
2020-07-23,33.93,56.12,1.45,0.53,121.96,10.32,Soleggiato e caldo
2020-07-24,27.64,76.36,1.28,8.99,599.17,16.98,Ventoso
2020-07-25,29.24,59.37,0.83,2.25,378.95,11.71,Soleggiato e caldo
2020-07-26,32.84,72.39,0.85,4.38,311.85,8.75,Soleggiato e caldo
2020-07-27,33.42,59.2,0.3,8.6,247.53,13.76,Soleggiato e caldo
2020-07-28,27.57,52.28,1.13,0.76,138.48,10.39,Sereno
2020-07-29,32.81,84.05,1.38,3.53,557.81,8.76,Soleggiato e caldo
2020-07-30,31.39,58.24,1.3,6.0,493.64,17.41,Soleggiato e caldo
2020-07-31,29.71,75.09,1.07,7.78,245.64,17.37,Soleggiato e caldo
2020-08-01,27.2,59.98,0.33,7.7,447.17,11.57,Sereno
2020-08-02,25.03,81.43,1.75,6.04,460.55,5.62,Sereno
2020-08-03,27.08,57.04,0.53,6.8,296.51,19.6,Sereno
2020-08-04,34.45,77.02,0.41,7.52,401.86,7.37,Soleggiato e caldo
2020-08-05,30.22,66.32,0.38,1.99,602.68,15.69,Soleggiato e caldo
2020-08-06,31.34,70.05,0.17,4.95,398.3,19.36,Soleggiato e caldo
2020-08-07,31.11,71.46,1.18,2.96,545.41,6.91,Soleggiato e caldo
2020-08-08,32.51,89.53,1.31,4.16,311.57,17.03,Soleggiato e caldo
2020-08-09,27.64,59.82,0.17,9.13,758.42,18.48,Ventoso
2020-08-10,26.7,53.66,0.85,4.47,632.28,15.4,Sereno
2020-08-11,25.89,65.85,1.33,1.75,127.37,6.35,Sereno
2020-08-12,26.28,80.71,1.18,3.12,309.34,8.14,Sereno
2020-08-13,26.83,80.78,1.75,2.27,258.55,10.4,Sereno
2020-08-14,26.6,57.65,1.69,4.33,730.37,18.32,Sereno
2020-08-15,34.54,56.41,1.69,4.75,665.08,7.25,Soleggiato e caldo
2020-08-16,28.14,67.22,0.11,6.51,381.74,8.55,Soleggiato e caldo
2020-08-17,34.31,59.27,1.78,6.31,334.12,18.66,Soleggiato e caldo
2020-08-18,28.6,69.3,0.12,5.05,624.36,13.99,Soleggiato e caldo
2020-08-19,30.27,76.04,1.25,3.11,388.55,6.74,Soleggiato e caldo
2020-08-20,27.33,61.03,1.77,4.11,687.1,7.08,Sereno
2020-08-21,33.83,79.48,0.67,9.85,746.34,19.55,Soleggiato e caldo
2020-08-22,32.49,89.51,1.62,3.24,475.85,9.0,Soleggiato e caldo
2020-08-23,33.52,57.3,0.1,3.47,603.5,17.29,Soleggiato e caldo
2020-08-24,26.09,68.66,0.28,5.18,469.44,10.38,Sereno
2020-08-25,27.56,82.71,0.29,6.31,310.38,10.04,Sereno
2020-08-26,33.52,82.23,1.0,9.64,298.02,12.8,Soleggiato e caldo
2020-08-27,30.79,58.51,0.53,5.16,547.32,18.18,Soleggiato e caldo
2020-08-28,34.87,54.12,0.99,8.67,586.64,12.96,Soleggiato e caldo
2020-08-29,33.03,72.78,1.2,8.65,285.16,16.78,Soleggiato e caldo
2020-08-30,29.21,59.18,0.28,4.67,577.51,12.55,Soleggiato e caldo
2020-08-31,33.13,82.51,1.28,1.04,497.45,15.2,Soleggiato e caldo
2020-09-01,17.29,56.71,0.22,5.43,694.53,8.12,Sereno
2020-09-02,16.5,82.67,1.86,7.76,622.03,11.22,Sereno
2020-09-03,13.86,83.69,1.99,8.17,682.32,10.64,Ventoso
2020-09-04,15.28,88.03,0.88,6.13,329.05,17.76,Sereno
2020-09-05,15.72,59.08,1.33,4.46,292.38,17.21,Sereno
2020-09-06,18.53,66.65,0.65,9.48,249.38,8.35,Ventoso
2020-09-07,17.12,71.97,0.83,5.45,431.51,9.25,Sereno
2020-09-08,13.54,68.4,1.87,8.75,321.29,10.13,Ventoso
2020-09-09,11.07,77.69,1.01,7.03,644.34,8.64,Sereno
2020-09-10,15.33,62.82,0.96,2.08,186.22,7.14,Sereno
2020-09-11,18.14,73.72,0.19,1.32,764.42,16.6,Sereno
2020-09-12,19.02,82.75,1.67,1.07,295.69,14.63,Sereno
2020-09-13,13.54,79.7,0.18,9.58,137.44,7.43,Ventoso
2020-09-14,15.69,82.75,1.31,9.24,291.99,7.63,Ventoso
2020-09-15,11.26,59.96,0.7,8.09,669.88,19.61,Ventoso
2020-09-16,17.67,80.63,0.14,9.41,343.25,18.25,Ventoso
