DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_OF_CROP,DESTINATION_WINEGRAPES,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_OF_CROP,NOTE_DESTINATION_WINEGRAPES,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,AREAUTI,ALL,2022,-1.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,AREAUTI,ALL,2023,-3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,AREAUTI,ALL,2024,-1.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2015,-1.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2016,1.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2017,0.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2018,0.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2019,-1.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2020,-1.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2021,-1.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2022,-1.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2023,-1.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLAND,ALL,2024,-1.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2015,0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2016,-6.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2017,3.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2018,-0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2019,-3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2020,-6.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2021,-3.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2022,3.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,ARLANO,ALL,2023,-2.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2010,-14,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2011,18.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2012,19.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2013,5.46,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2014,-0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2015,3.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2016,6.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2017,4.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2018,2.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2019,3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2020,-5.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2021,-7.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2022,8.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2023,0.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BARLEY,ALL,2024,-8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2010,-0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2011,-21,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2012,8.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2013,11.08,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2014,2.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2015,-3.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2016,-2.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2017,-3.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2018,2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2019,-6.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2020,-15.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2021,0.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2022,-0.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2023,-17.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,BEETS,ALL,2024,0.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2015,-1.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2016,3.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2017,-2.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2018,-0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2019,-0.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2020,-0.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2021,1.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2022,-1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2023,-1.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREALS,ALL,2024,-6.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2010,19.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2011,12.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2012,2.39,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2013,26.65,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2014,-1.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2015,10.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2016,7.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2017,3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2018,5.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2019,7.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2020,-1.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2021,15.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2022,5.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2023,-9.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CEREAOG,ALL,2024,6.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2010,1.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2011,-5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2012,18.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2013,2.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2014,-2.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2015,-7.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2016,5.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2017,3.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2018,4.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2019,4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2020,1.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2021,-1.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2022,0.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2023,6.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,COMMEAT,ALL,2024,1.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2015,-30.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2016,-4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2017,-3.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2018,2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2019,0.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2020,-4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2021,2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2022,-0.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2023,-4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROOIN,ALL,2024,-0.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2015,1.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2016,-4.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2017,2.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2018,-2.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2019,-9.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2020,-3.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2021,-7.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2022,-1.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,CROPIN,ALL,2023,-11.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2015,8.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2016,-3.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2017,9.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2018,5.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2019,-3.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2020,-1.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2021,-3.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2022,-4.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2023,-1.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,DRPUL,ALL,2024,-4.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2014,18.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2015,0.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2016,-6.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2017,3.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2018,-0.2,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2019,-2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2020,-6.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2021,-3.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2022,3.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2023,-2.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FALLAND,ALL,2024,1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2014,1.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2015,1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2016,-5.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2017,-2.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2018,-1.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2019,-14.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2020,2.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2021,5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2022,1.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2023,-4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FLOWNDORNA,ALL,2024,1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2015,-1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2016,-1.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2017,3.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2018,0.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2019,-1.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2020,-0.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2021,-1.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2022,-4.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2023,-0.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAGE_TEMP,ALL,2024,-2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2010,-0.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2011,-1.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2012,3.35,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2013,1.26,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2014,-0.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2015,-20.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2016,2.6,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2017,2.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2018,0.1,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2019,-2.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2020,-2.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2021,0.3,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2022,-3.9,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2023,-11.7,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FORAIZE,ALL,2024,1.5,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FRESUMES,ALL,2010,-10.4,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FRESUMES,ALL,2011,8.8,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FRESUMES,ALL,2012,-9.49,,,,,,,,,,
IT1:101_1015_DF_DCSP_COLTIVAZIONI_10(1.0),A,IT,SOWCROP,FRESUMES,ALL,2013,7.57,,,,,,,,,,
